Date,Time,Action
2026-01-27,01:02:21,OUT
2026-01-27,01:02:22,IN
2026-01-29,02:28:02,OUT
2026-01-29,02:28:05,IN
2026-01-29,02:28:10,OUT
2026-01-29,02:28:16,IN
2026-01-29,02:28:21,OUT
2026-01-29,02:28:22,IN
2026-01-29,02:28:22,OUT
2026-01-29,02:28:23,IN
2026-01-29,02:28:23,OUT
2026-01-29,02:28:23,IN
2026-01-29,02:28:25,OUT
2026-01-29,02:28:26,IN
2026-01-29,02:28:27,OUT
2026-01-29,02:28:29,IN
2026-01-29,02:28:30,OUT
2026-01-29,02:28:30,IN
2026-01-29,02:28:32,OUT
2026-01-29,02:28:32,IN
2026-01-29,02:28:33,OUT
2026-01-29,02:28:34,IN
2026-01-29,20:27:26,OUT
2026-01-29,20:28:12,OUT
2026-01-29,20:28:14,IN
2026-01-31,00:16:33,OUT
2026-01-31,00:16:42,OUT
2026-01-31,00:16:42,IN
2026-01-31,00:16:42,IN
2026-01-31,00:16:44,OUT
2026-01-31,00:16:44,IN
2026-01-31,00:16:45,OUT
2026-01-31,00:16:45,IN
2026-01-31,00:16:46,OUT
2026-01-31,00:16:47,IN
2026-01-31,00:16:47,OUT
2026-01-31,00:16:47,OUT
2026-01-31,00:16:48,IN
2026-01-31,00:16:49,OUT
2026-01-31,00:16:49,IN
2026-01-31,00:16:49,IN
2026-01-31,00:16:51,OUT
2026-01-31,00:16:53,IN
2026-01-31,00:16:56,IN
2026-01-31,00:16:57,IN
2026-01-31,00:16:57,OUT
2026-01-31,00:16:57,OUT
2026-01-31,03:49:00,OUT
2026-01-31,03:49:03,IN
2026-01-31,03:49:10,OUT
2026-01-31,03:49:13,IN
2026-01-31,03:49:24,IN
2026-01-31,03:49:29,OUT
2026-01-31,03:49:35,IN
2026-01-31,03:49:46,OUT
2026-01-31,03:49:49,IN
2026-01-31,03:49:51,OUT
2026-01-31,03:49:55,IN
2026-01-31,04:54:02,Camera_1_IN
2026-01-31,04:54:09,Camera_1_OUT
2026-01-31,04:54:11,Camera_1_IN
2026-01-31,05:45:06,مدخل 2_OUT
2026-01-31,05:45:07,مدخل 2_IN
2026-01-31,06:05:38,مدخل 1dd_OUT
2026-01-31,06:05:38,مدخل 2dd_IN
2026-01-31,06:05:39,مدخل 2dd_OUT
2026-01-31,06:05:39,مدخل 1dd_IN
2026-01-31,06:05:41,مدخل 2dd_OUT
2026-01-31,06:05:42,مدخل 1dd_IN
2026-01-31,06:06:09,مدخل 1dd_IN
2026-01-31,06:06:09,مدخل 2dd_OUT
2026-01-31,06:06:10,مدخل 1dd_IN
2026-01-31,06:06:10,مدخل 2dd_OUT
2026-01-31,06:06:10,مدخل 1dd_IN
2026-01-31,06:06:10,مدخل 2dd_OUT
2026-01-31,06:06:11,مدخل 1dd_IN
2026-01-31,06:06:11,مدخل 2dd_OUT
2026-01-31,06:06:11,مدخل 1dd_IN
2026-01-31,06:06:11,مدخل 2dd_OUT
2026-01-31,06:06:12,مدخل 2dd_OUT
2026-01-31,06:06:12,مدخل 1dd_IN
2026-01-31,06:06:12,مدخل 1dd_IN
2026-01-31,06:06:12,مدخل 2dd_OUT
2026-01-31,06:06:12,مدخل 1dd_IN
2026-01-31,06:06:13,مدخل 2dd_OUT
2026-01-31,06:06:13,مدخل 1dd_IN
2026-01-31,06:06:13,مدخل 2dd_OUT
2026-01-31,06:06:13,مدخل 1dd_IN
2026-01-31,06:09:35,مدخل 1_OUT
2026-01-31,06:09:36,مدخل 2as_OUT
2026-01-31,06:10:57,مدخل 2as_OUT
2026-01-31,06:10:58,مدخل 1_IN
2026-01-31,06:11:46,مدخل 2as_OUT
2026-01-31,06:11:46,مدخل 1_IN
2026-01-31,06:11:47,مدخل 2as_OUT
2026-01-31,06:11:47,مدخل 1_IN
2026-01-31,06:11:47,مدخل 2as_OUT
2026-01-31,06:11:48,مدخل 1_IN
2026-01-31,06:11:48,مدخل 2as_OUT
2026-01-31,06:11:48,مدخل 1_IN
2026-01-31,06:11:50,مدخل 1_IN
2026-01-31,06:11:50,مدخل 2as_OUT
2026-01-31,06:11:50,مدخل 1_IN
2026-01-31,06:11:51,مدخل 2as_OUT
2026-01-31,06:11:51,مدخل 1_IN
2026-01-31,06:12:14,مدخل 1_IN
2026-01-31,06:44:20,مدخل 1_IN
2026-01-31,07:16:15,مدخل 1_OUT
2026-01-31,07:16:16,مدخل 1_IN
2026-01-31,07:16:19,مدخل 1_OUT
2026-01-31,07:16:19,مدخل 1_IN
